Ativo;Estratégia;Status;Direção;IV Rank;Preço Spot;Tipo Precificação;Rótulo Valor;Valor da Estrutura;Pernas Sugeridas;Timestamp Coleta;Notas
MSFT;Long Strangle;APROVADO;N/D;22.83;/option-chains/MSFT/nested/2026-10-23/480.0 | /option-chains/MSFT/nested/2026-10-23/525.0;DEBIT;CUSTO MÁXIMO A PAGAR;12.85;COMPRAR 1x CALL $525.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $480.00 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.671763+00:00;IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [Gestão de Risco: Ativo com spot elevado ($500.25 > $100.00). Em contas menores (< $5k), avaliar travas de débito (Bull Call/Bear Put) ou Calendars para limitar desembolso inicial].
NVDA;Long Strangle;APROVADO;N/D;-0.78;/option-chains/NVDA/nested/2026-10-23/215.0 | /option-chains/NVDA/nested/2026-10-23/245.0;DEBIT;CUSTO MÁXIMO A PAGAR;6.14;COMPRAR 1x CALL $245.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $215.00 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.672338+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [Gestão de Risco: IV Rank no piso histórico (-0.8% < 20.0%). Possível vácuo de catalisador; compra de volatilidade exige evento binário comprovado]. [Gestão de Risco: Ativo com spot elevado ($228.17 > $100.00). Em contas menores (< $5k), avaliar travas de débito (Bull Call/Bear Put) ou Calendars para limitar desembolso inicial]."
TSLA;Long Strangle;APROVADO;N/D;25.51;/option-chains/TSLA/nested/2026-10-23/350.0 | /option-chains/TSLA/nested/2026-10-23/420.0;DEBIT;CUSTO MÁXIMO A PAGAR;14.85;COMPRAR 1x CALL $420.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $350.00 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.673265+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [Gestão de Risco: Ativo com spot elevado ($378.62 > $100.00). Em contas menores (< $5k), avaliar travas de débito (Bull Call/Bear Put) ou Calendars para limitar desembolso inicial]. [VRP favorável (-14.8 pts): IV com desconto sobre volatilidade realizada recente; vento a favor para compra de opções]"
OPEN;Long Strangle;APROVADO;N/D;18.44;/option-chains/OPEN/nested/2026-10-23/2.5 | /option-chains/OPEN/nested/2026-10-23/3.0;DEBIT;CUSTO MÁXIMO A PAGAR;0.31;COMPRAR 1x CALL $3.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $2.50 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.674508+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [Gestão de Risco: IV Rank no piso histórico (18.4% < 20.0%). Possível vácuo de catalisador; compra de volatilidade exige evento binário comprovado]. [VRP favorável (-191.4 pts): IV com desconto sobre volatilidade realizada recente; vento a favor para compra de opções]"
JBLU;Long Strangle;CONDICIONAL;N/D;21.15;/option-chains/JBLU/nested/2026-10-23/4.0 | /option-chains/JBLU/nested/2026-10-23/5.0;DEBIT;CUSTO MÁXIMO A PAGAR;0.29;COMPRAR 1x CALL $5.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $4.00 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.676692+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [⚠️ VRP ELEVADO (+26.5 pts): IV inflada em relação ao realizado (+26.5 pts sobre RV20); risco de compressão de vol pós-evento]"
SNAP;Long Strangle;APROVADO;N/D;23.49;/option-chains/SNAP/nested/2026-10-23/5.0 | /option-chains/SNAP/nested/2026-10-23/6.0;DEBIT;CUSTO MÁXIMO A PAGAR;0.38;COMPRAR 1x CALL $6.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $5.00 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.677051+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [VRP favorável (-4.8 pts): IV com desconto sobre volatilidade realizada recente; vento a favor para compra de opções]"
ONDS;Long Strangle;APROVADO;N/D;-2.19;/option-chains/ONDS/nested/2026-10-23/7.0 | /option-chains/ONDS/nested/2026-10-23/8.5;DEBIT;CUSTO MÁXIMO A PAGAR;0.65;COMPRAR 1x CALL $8.50 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $7.00 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.677574+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [Gestão de Risco: IV Rank no piso histórico (-2.2% < 20.0%). Possível vácuo de catalisador; compra de volatilidade exige evento binário comprovado]. [VRP favorável (-49.5 pts): IV com desconto sobre volatilidade realizada recente; vento a favor para compra de opções]"
BULL;Long Strangle;APROVADO;N/D;12.54;/option-chains/BULL/nested/2026-10-23/7.5 | /option-chains/BULL/nested/2026-10-23/9.0;DEBIT;CUSTO MÁXIMO A PAGAR;0.61;COMPRAR 1x CALL $9.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $7.50 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.677912+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [Gestão de Risco: IV Rank no piso histórico (12.5% < 20.0%). Possível vácuo de catalisador; compra de volatilidade exige evento binário comprovado]."
SMR;Long Strangle;APROVADO;N/D;6.27;/option-chains/SMR/nested/2026-10-23/10.0 | /option-chains/SMR/nested/2026-10-23/8.0;DEBIT;CUSTO MÁXIMO A PAGAR;0.88;COMPRAR 1x CALL $10.00 (Venc: 2026-10-23, 31d) + COMPRAR 1x PUT $8.00 (Venc: 2026-10-23, 31d);2026-09-22T21:59:14.678236+00:00;"IV Rank baixo (< 30). Evento no horizonte confirmado (TRUE) [Gestão de Risco: IV Rank no piso histórico (6.3% < 20.0%). Possível vácuo de catalisador; compra de volatilidade exige evento binário comprovado]. [VRP favorável (-27.8 pts): IV com desconto sobre volatilidade realizada recente; vento a favor para compra de opções]"
BAC;Calendar Spread;APROVADO;N/D;N/D;/option-chains/BAC/nested/2026-10-16/57.5 | /option-chains/BAC/nested/2026-11-20/57.5;DEBIT;CUSTO MÁXIMO A PAGAR;0.89;VENDER 1x CALL $57.50 (Venc: 2026-10-16, 24d) + COMPRAR 1x CALL $57.50 (Venc: 2026-11-20, 59d);2026-09-22T21:59:14.678840+00:00;Term structure invertida confirmada: IV 2026-10-16 > IV 2026-11-20. (Inversão associada a catalisador/evento no horizonte).
